debug69u2K:debugWLmOf,0,1653185762022,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1-1.html"", ""instructions/instruct-1-2.html"", ""instructions/instruct-1-3.html""], ""action"": ""Begin""}"
debug69u2K:debugWLmOf,1,1653185765556,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1-1.html"", ""indexOf"": 0, ""action"": ""NextPage"", ""viewTime"": 3533}"
debug69u2K:debugWLmOf,2,1653185769105,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1-2.html"", ""indexOf"": 1, ""action"": ""NextPage"", ""viewTime"": 3547}"
debug69u2K:debugWLmOf,3,1653185773255,"{""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1-3.html"", ""indexOf"": 2, ""action"": ""FinishInstructions"", ""viewTime"": 4149}"
debug69u2K:debugWLmOf,4,1653185773261,"{""phase"": ""id_submit"", ""status"": ""begin""}"
debug69u2K:debugWLmOf,5,1653185790824,"{""phase"": ""id_submit"", ""status"": ""submit""}"
debug69u2K:debugWLmOf,6,1653185828333,"{""phase"": ""viewing"", ""vidpath"": ""/static/video/Prac/wildebeest_part1.mp4"", ""clip#"": ""8"", ""title"": ""the_rock"", ""vidseg"": 1, ""target"": ""not_target"", ""offset"": ""12"", ""watch_duration"": 12592, ""tag"": ""prac_segA_view""}"
debug69u2K:debugWLmOf,7,1653185855651,"{""phase"": ""viewing"", ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""clip#"": ""8"", ""title"": ""the_rock"", ""vidseg"": 2, ""target"": ""target"", ""offset"": ""33"", ""watch_duration"": 20612, ""tag"": ""prac_segB_view""}"
debug69u2K:debugWLmOf,8,1653185982220,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Bull on the left continues to convince bull on the right that it's a crocodile and not a log. One on the left throws a pebble at it, then pokes it with a stick, and then splashes some water on it before jumping on top of it"", ""importance"": ""6"", ""time"": 115476, ""tag"": ""prac_segB_desc""}"
debug69u2K:debugWLmOf,9,1653186006114,"{""phase"": ""viewing"", ""vidpath"": ""/static/video/Prac/wildebeest_part3.mp4"", ""clip#"": ""8"", ""title"": ""the_rock"", ""vidseg"": 3, ""target"": ""not_target"", ""offset"": ""49"", ""watch_duration"": 16111, ""tag"": ""prac_segC_view""}"
debug69u2K:debugWLmOf,10,1653186071408,"{""phase"": ""viewing"", ""vidpath"": ""/static/video/F/filmfest_clip8_F_0.mp4"", ""clip#"": ""8"", ""title"": ""the_rock"", ""vidseg"": 1, ""target"": ""not_target"", ""offset"": ""60"", ""watch_duration"": 60038, ""tag"": ""test_seg1_view""}"
